english,finnish,spanish
first dance,ensimmäinen tanssi,primer baile
cake cutting,kakun leikkaus,corte del pastel
bouquet toss,morsiuskimpun heitto,lanzamiento del ramo
wedding toast,häämalja,brindis nupcial
ring exchange,sormusten vaihto,intercambio de anillos
photo session,valokuvaus,sesión de fotos
bride crying,morsian itkee,novia llorando
groom crying,sulhanen itkee,novio llorando
family hug,perhehalausta,abrazo familiar
dance party,tanssijuhlat,fiesta de baile
champagne pop,samppanjan poksautus,descorche de champán
wedding speech,hääpuhe,discurso de boda
flower girl,kukkastyttö,niña de las flores
ring bearer,sormuspoika,paje de anillos
romantic kiss,romanttinen suudelma,beso romántico
guest sleeping,vieras nukkuu,invitado dormido
silly dance moves,hassut tanssiliikkeet,bailes graciosos
selfie time,selfie-hetki,momento selfie
dinner served,illallinen tarjoillaan,cena servida
cake smash,kakun läpsäytys,embarrar el pastel
parents dancing,vanhemmat tanssivat,padres bailando
gift opening,lahjojen avaus,apertura de regalos
couple laughing,pari nauraa,pareja riendo
group photo,ryhmäkuva,foto grupal
sunset moment,auringonlasku-hetki,momento del atardecer